date,product,region,units_sold,price,revenue,social_sentiment
2024-10-21 23:14:37.721277,iPhone_4,US,492,999,491508,4.170592959914295
2024-10-21 23:14:37.721277,iPhone_2,EU,497,1099,546203,4.740095960656849
2024-10-21 23:14:37.721277,iPhone_2,EU,486,1099,534114,3.725534266274952
2024-10-21 23:14:37.721277,iPhone_0,EU,503,1099,552797,3.8346188028503776
2024-10-21 23:14:37.721277,iPhone_4,China,517,1099,568183,3.069074994305282
2024-10-21 23:14:37.721277,iPhone_4,US,492,1099,540708,4.194487936644169
2024-10-21 23:14:37.721277,iPhone_4,APAC,540,1299,701460,4.084383064157676
2024-10-21 23:14:37.721277,iPhone_2,APAC,487,799,389113,3.088880794388561
2024-10-21 23:14:37.721277,iPhone_4,EU,517,1299,671583,4.612790586669966
2024-10-21 23:14:37.721277,iPhone_0,APAC,538,999,537462,4.275383417302771
2024-10-21 23:14:37.721277,iPhone_1,China,462,999,461538,4.3604301009027635
2024-10-21 23:14:37.721277,iPhone_4,APAC,543,1199,651057,3.8485436453423407
2024-10-21 23:14:37.721277,iPhone_1,US,525,1199,629475,3.756609825966961
2024-10-21 23:14:37.721277,iPhone_3,China,503,1299,653397,3.526474277539106
2024-10-21 23:14:37.721277,iPhone_2,APAC,537,1099,590163,3.286205730529886
2024-10-21 23:14:37.721277,iPhone_4,US,514,1199,616286,4.740210916688209
2024-10-21 23:14:37.721277,iPhone_1,China,475,1099,522025,4.753403111450428
2024-10-21 23:14:37.721277,iPhone_2,Other,507,999,506493,3.7138002681594107
2024-10-21 23:14:37.721277,iPhone_1,US,485,999,484515,3.377857046102057
2024-10-21 23:14:37.721277,iPhone_2,APAC,494,999,493506,3.2932282235662607
2024-10-21 23:14:37.721277,iPhone_0,EU,525,799,419475,3.888131676135971
2024-10-21 23:14:37.721277,iPhone_0,APAC,508,1099,558292,3.91376911144501
2024-10-21 23:14:37.721277,iPhone_4,China,485,799,387515,4.678360789960597
2024-10-21 23:14:37.721277,iPhone_3,US,502,1199,601898,3.7026278416437117
2024-10-21 23:14:37.721277,iPhone_1,Other,506,1099,556094,3.2934747788420298
2024-10-21 23:14:37.721277,iPhone_3,China,454,799,362746,3.072589313945799
2024-10-21 23:14:37.721277,iPhone_4,Other,457,1099,502243,3.882011201862327
2024-10-21 23:14:37.721277,iPhone_1,EU,526,1099,578074,3.8389629701796393
2024-10-21 23:14:37.721277,iPhone_3,EU,490,1099,538510,3.3609533921818464
2024-10-21 23:14:37.721277,iPhone_0,China,473,799,377927,3.2724673030914513
2024-10-21 23:14:37.721277,iPhone_2,US,485,799,387515,4.294140037077965
2024-10-22 23:14:37.721276,iPhone_2,EU,493,1299,640407,3.9170460177637816
2024-10-22 23:14:37.721276,iPhone_4,APAC,547,999,546453,4.469710411616756
2024-10-22 23:14:37.721276,iPhone_1,APAC,485,799,387515,3.69641766077497
2024-10-22 23:14:37.721276,iPhone_2,EU,459,999,458541,3.5422257580083896
2024-10-22 23:14:37.721276,iPhone_4,EU,491,1099,539609,3.4868912680574895
2024-10-22 23:14:37.721276,iPhone_2,China,506,1099,556094,4.007417308426544
2024-10-22 23:14:37.721276,iPhone_2,China,530,999,529470,4.776852284375714
2024-10-22 23:14:37.721276,iPhone_3,APAC,541,999,540459,3.6619058103015556
2024-10-22 23:14:37.721276,iPhone_2,China,501,1099,550599,3.5262692936781446
2024-10-22 23:14:37.721276,iPhone_2,APAC,439,999,438561,3.0879641090669594
2024-10-22 23:14:37.721276,iPhone_0,US,495,1099,544005,3.1936241131902863
2024-10-22 23:14:37.721276,iPhone_1,APAC,514,799,410686,4.774965034136344
2024-10-22 23:14:37.721276,iPhone_2,Other,538,1099,591262,3.4041663300158476
2024-10-22 23:14:37.721276,iPhone_3,China,507,999,506493,3.3393346305425315
2024-10-22 23:14:37.721276,iPhone_4,Other,502,1199,601898,4.908084530156172
2024-10-22 23:14:37.721276,iPhone_1,China,501,1099,550599,3.602437767176405
2024-10-22 23:14:37.721276,iPhone_1,EU,523,999,522477,3.4929558191534724
2024-10-23 23:14:37.721275,iPhone_1,APAC,483,1299,627417,4.934896863829737
2024-10-23 23:14:37.721275,iPhone_0,APAC,540,1199,647460,4.824886148313747
2024-10-23 23:14:37.721275,iPhone_0,China,480,1299,623520,4.221534407043488
2024-10-23 23:14:37.721275,iPhone_4,APAC,493,1199,591107,4.20841715158731
2024-10-23 23:14:37.721275,iPhone_4,EU,496,1299,644304,3.322266906896237
2024-10-23 23:14:37.721275,iPhone_2,APAC,477,799,381123,3.66051111461986
2024-10-23 23:14:37.721275,iPhone_4,China,514,999,513486,4.581835200556258
2024-10-23 23:14:37.721275,iPhone_3,US,541,799,432259,4.485260260806733
2024-10-23 23:14:37.721275,iPhone_3,APAC,524,1299,680676,3.964207266652925
2024-10-23 23:14:37.721275,iPhone_3,APAC,520,799,415480,3.116395540260574
2024-10-23 23:14:37.721275,iPhone_0,Other,462,799,369138,3.888366813756733
2024-10-23 23:14:37.721275,iPhone_4,APAC,476,999,475524,4.212387074848281
2024-10-23 23:14:37.721275,iPhone_3,US,515,1299,668985,4.496387452870323
2024-10-23 23:14:37.721275,iPhone_4,US,503,999,502497,4.746722235682876
2024-10-23 23:14:37.721275,iPhone_2,APAC,504,799,402696,4.435086121391491
2024-10-23 23:14:37.721275,iPhone_1,APAC,496,1199,594704,4.7533590374166526
2024-10-23 23:14:37.721275,iPhone_0,US,490,1199,587510,3.541376801235208
2024-10-23 23:14:37.721275,iPhone_3,EU,453,799,361947,3.9815420314949987
2024-10-23 23:14:37.721275,iPhone_3,EU,496,1299,644304,3.9840034588641657
2024-10-23 23:14:37.721275,iPhone_3,China,500,999,499500,3.5378227023961193
2024-10-23 23:14:37.721275,iPhone_2,China,499,1099,548401,3.174833615742168
2024-10-23 23:14:37.721275,iPhone_1,China,507,999,506493,3.557316080259313
2024-10-23 23:14:37.721275,iPhone_0,China,503,1199,603097,4.529765414372841
2024-10-23 23:14:37.721275,iPhone_2,EU,464,1199,556336,3.5317626295071385
2024-10-23 23:14:37.721275,iPhone_4,EU,483,1199,579117,4.727127459842439
2024-10-23 23:14:37.721275,iPhone_2,EU,527,1299,684573,4.598699032506861
2024-10-23 23:14:37.721275,iPhone_4,US,530,1199,635470,3.8655341634163873
2024-10-23 23:14:37.721275,iPhone_2,Other,495,1099,544005,4.179764901834062
2024-10-23 23:14:37.721275,iPhone_1,EU,484,999,483516,3.285656558433532
2024-10-24 23:14:37.721274,iPhone_1,APAC,466,1199,558734,3.8950929628284476
2024-10-24 23:14:37.721274,iPhone_3,China,482,1199,577918,4.105372535374877
2024-10-24 23:14:37.721274,iPhone_1,APAC,521,799,416279,3.823699584664645
2024-10-24 23:14:37.721274,iPhone_1,EU,484,999,483516,3.178811762398415
2024-10-24 23:14:37.721274,iPhone_3,US,507,999,506493,3.219173915799455
2024-10-24 23:14:37.721274,iPhone_4,US,487,799,389113,4.123098533276223
2024-10-24 23:14:37.721274,iPhone_1,Other,526,1199,630674,4.6581372924321816
2024-10-24 23:14:37.721274,iPhone_2,China,469,999,468531,4.267156268549947
2024-10-24 23:14:37.721274,iPhone_2,APAC,487,1299,632613,3.061665545568821
2024-10-24 23:14:37.721274,iPhone_1,Other,472,799,377128,3.4430345442262116
2024-10-24 23:14:37.721274,iPhone_4,APAC,495,799,395505,4.547577018156099
2024-10-24 23:14:37.721274,iPhone_1,China,474,799,378726,4.73287733505529
2024-10-24 23:14:37.721274,iPhone_2,EU,528,1199,633072,3.053627595635342
2024-10-24 23:14:37.721274,iPhone_4,China,490,1099,538510,3.7094144792044275
2024-10-24 23:14:37.721274,iPhone_0,EU,488,1099,536312,4.53224350269026
2024-10-24 23:14:37.721274,iPhone_3,China,503,1199,603097,4.164191864565083
2024-10-24 23:14:37.721274,iPhone_2,China,492,1299,639108,4.447483161991373
2024-10-24 23:14:37.721274,iPhone_0,China,468,1099,514332,3.5770614146043203
2024-10-24 23:14:37.721274,iPhone_4,EU,505,999,504495,4.196989420026552
2024-10-24 23:14:37.721274,iPhone_4,Other,532,999,531468,3.627459497529334
2024-10-24 23:14:37.721274,iPhone_1,Other,485,999,484515,3.9023768241149215
2024-10-24 23:14:37.721274,iPhone_4,US,520,1199,623480,4.4183780417278555
2024-10-24 23:14:37.721274,iPhone_0,EU,497,999,496503,4.941353090819488
2024-10-24 23:14:37.721274,iPhone_1,Other,500,999,499500,4.82488217761611
2024-10-24 23:14:37.721274,iPhone_4,EU,524,799,418676,3.2669380089393183
2024-10-24 23:14:37.721274,iPhone_4,EU,512,1199,613888,4.577496411635683
2024-10-24 23:14:37.721274,iPhone_4,China,510,799,407490,3.101712847457354
2024-10-24 23:14:37.721274,iPhone_3,China,471,799,376329,4.251242654568452
2024-10-24 23:14:37.721274,iPhone_0,Other,496,1299,644304,3.190026281374262
2024-10-25 23:14:37.721273,iPhone_2,APAC,498,1099,547302,4.521570097233795
2024-10-25 23:14:37.721273,iPhone_4,APAC,522,799,417078,4.191754530300357
2024-10-25 23:14:37.721273,iPhone_1,China,515,999,514485,4.5682932539957575
2024-10-25 23:14:37.721273,iPhone_2,US,475,1099,522025,3.6371261962519794
2024-10-25 23:14:37.721273,iPhone_3,APAC,481,799,384319,4.83499599584129
2024-10-25 23:14:37.721273,iPhone_4,APAC,500,1099,549500,4.853584988818603
2024-10-25 23:14:37.721273,iPhone_3,APAC,510,1199,611490,4.746217685528455
2024-10-25 23:14:37.721273,iPhone_1,Other,486,799,388314,4.015577853575509
2024-10-25 23:14:37.721273,iPhone_3,China,503,999,502497,3.7509378569330005
2024-10-25 23:14:37.721273,iPhone_3,Other,486,1199,582714,3.051573886571168
2024-10-25 23:14:37.721273,iPhone_3,EU,505,799,403495,4.521916239466142
2024-10-25 23:14:37.721273,iPhone_2,Other,503,1099,552797,4.723056260596077
2024-10-25 23:14:37.721273,iPhone_3,EU,490,1199,587510,4.008009919051043
2024-10-25 23:14:37.721273,iPhone_0,APAC,490,1199,587510,4.8344986416382705
2024-10-25 23:14:37.721273,iPhone_0,US,487,1099,535213,3.4198111861911715
2024-10-25 23:14:37.721273,iPhone_3,US,492,1099,540708,3.3532118548929883
2024-10-25 23:14:37.721273,iPhone_3,China,484,1199,580316,3.3859406170038158
2024-10-25 23:14:37.721273,iPhone_4,EU,500,1299,649500,3.063368211083094
2024-10-25 23:14:37.721273,iPhone_2,EU,499,1299,648201,4.8102677496883715
2024-10-25 23:14:37.721273,iPhone_0,US,526,999,525474,4.632307447765057
2024-10-25 23:14:37.721273,iPhone_0,US,509,1099,559391,4.927145000241068
2024-10-25 23:14:37.721273,iPhone_1,Other,474,999,473526,4.738965166261728
2024-10-25 23:14:37.721273,iPhone_0,Other,487,799,389113,3.766289551658347
2024-10-25 23:14:37.721273,iPhone_1,China,478,999,477522,3.401336092337388
2024-10-25 23:14:37.721273,iPhone_3,Other,515,1299,668985,4.245150795665563
2024-10-26 23:14:37.721272,iPhone_4,Other,526,1099,578074,3.1555765055011227
2024-10-26 23:14:37.721272,iPhone_4,US,499,1199,598301,3.7280221106969056
2024-10-26 23:14:37.721272,iPhone_0,APAC,484,799,386716,4.08127469322256
2024-10-26 23:14:37.721272,iPhone_3,China,485,1299,630015,3.0286716843716333
2024-10-26 23:14:37.721272,iPhone_1,APAC,476,799,380324,4.139042557364065
2024-10-26 23:14:37.721272,iPhone_3,Other,520,1199,623480,3.0079198860242853
2024-10-26 23:14:37.721272,iPhone_3,China,498,1199,597102,3.927693554779669
2024-10-26 23:14:37.721272,iPhone_1,APAC,521,1099,572579,4.714193879219832
2024-10-26 23:14:37.721272,iPhone_4,Other,503,799,401897,4.34920690232
2024-10-26 23:14:37.721272,iPhone_0,APAC,520,1299,675480,4.255917470685816
2024-10-26 23:14:37.721272,iPhone_1,EU,453,1299,588447,4.605657370952085
2024-10-26 23:14:37.721272,iPhone_1,US,506,1299,657294,4.945393742892217
2024-10-26 23:14:37.721272,iPhone_2,US,484,1299,628716,4.988111913536227
2024-10-26 23:14:37.721272,iPhone_1,APAC,512,1199,613888,4.767183972904009
2024-10-26 23:14:37.721272,iPhone_1,EU,540,1299,701460,4.303059370730015
2024-10-26 23:14:37.721272,iPhone_4,Other,496,1199,594704,4.881931575685588
2024-10-26 23:14:37.721272,iPhone_4,China,510,999,509490,4.84964320386234
2024-10-26 23:14:37.721272,iPhone_2,China,471,999,470529,4.468619977966215
2024-10-26 23:14:37.721272,iPhone_4,EU,495,1099,544005,4.1030424294299905
2024-10-26 23:14:37.721272,iPhone_3,US,499,1199,598301,4.306544769214112
2024-10-26 23:14:37.721272,iPhone_4,EU,500,1199,599500,3.562290483812398
2024-10-26 23:14:37.721272,iPhone_1,US,543,1099,596757,3.7663289371182516
2024-10-26 23:14:37.721272,iPhone_0,US,500,799,399500,3.4244222338375794
2024-10-26 23:14:37.721272,iPhone_3,EU,480,1199,575520,3.962825349520382
2024-10-26 23:14:37.721272,iPhone_0,US,467,799,373133,4.693443980793466
2024-10-26 23:14:37.721272,iPhone_0,EU,492,799,393108,4.8933075040858975
2024-10-26 23:14:37.721272,iPhone_0,US,523,1199,627077,4.769826914423987
2024-10-26 23:14:37.721272,iPhone_0,EU,457,1299,593643,3.564700791889762
2024-10-26 23:14:37.721272,iPhone_3,Other,516,1299,670284,3.709244315281553
2024-10-26 23:14:37.721272,iPhone_2,Other,477,1299,619623,4.279039754605259
2024-10-26 23:14:37.721272,iPhone_1,Other,484,1099,531916,3.3867177101285644
2024-10-26 23:14:37.721272,iPhone_3,US,522,1199,625878,3.9315298466010327
2024-10-26 23:14:37.721272,iPhone_1,US,494,1099,542906,4.172380709591852
2024-10-26 23:14:37.721272,iPhone_3,APAC,476,799,380324,4.929183219535203
2024-10-26 23:14:37.721272,iPhone_2,US,499,999,498501,3.675230342807256
2024-10-26 23:14:37.721272,iPhone_3,China,509,1199,610291,3.762347866538491
2024-10-26 23:14:37.721272,iPhone_3,US,472,999,471528,4.662353977059064
2024-10-27 23:14:37.721271,iPhone_2,EU,502,999,501498,3.698782354046081
2024-10-27 23:14:37.721271,iPhone_1,US,487,1099,535213,3.250232319298971
2024-10-27 23:14:37.721271,iPhone_2,US,502,999,501498,4.199149486088185
2024-10-27 23:14:37.721271,iPhone_0,US,523,799,417877,4.165137818429622
2024-10-27 23:14:37.721271,iPhone_1,Other,501,999,500499,4.978473655545418
2024-10-27 23:14:37.721271,iPhone_0,China,488,999,487512,4.0610136232081615
2024-10-27 23:14:37.721271,iPhone_1,US,533,1099,585767,4.149710978502732
2024-10-27 23:14:37.721271,iPhone_4,APAC,503,1199,603097,3.571682897326819
2024-10-27 23:14:37.721271,iPhone_1,EU,516,799,412284,4.920271208810894
2024-10-27 23:14:37.721271,iPhone_3,EU,511,799,408289,3.5385819351691925
2024-10-27 23:14:37.721271,iPhone_2,China,524,1299,680676,4.960010926393634
2024-10-27 23:14:37.721271,iPhone_0,Other,548,1099,602252,3.5004339177842603
2024-10-27 23:14:37.721271,iPhone_4,China,513,1099,563787,4.903616776138485
2024-10-27 23:14:37.721271,iPhone_1,China,539,1299,700161,3.1304809083509664
2024-10-27 23:14:37.721271,iPhone_2,China,535,999,534465,4.606755142875842
2024-10-27 23:14:37.721271,iPhone_0,APAC,490,1299,636510,3.508518321977861
2024-10-27 23:14:37.721271,iPhone_3,China,499,1099,548401,4.27167773789701
2024-10-27 23:14:37.721271,iPhone_2,China,511,1099,561589,3.5642520319372624
2024-10-27 23:14:37.721271,iPhone_3,APAC,520,1099,571480,3.497079641854852
2024-10-27 23:14:37.721271,iPhone_4,APAC,488,999,487512,3.824000366650208
2024-10-27 23:14:37.721271,iPhone_1,China,514,1099,564886,4.357985393716632
2024-10-27 23:14:37.721271,iPhone_3,China,508,1199,609092,4.1324446896212965
2024-10-27 23:14:37.721271,iPhone_1,China,483,1199,579117,3.5317247293633773
2024-10-27 23:14:37.721271,iPhone_4,Other,530,999,529470,3.0837255914418
2024-10-27 23:14:37.721271,iPhone_3,EU,531,1199,636669,3.126138225266539
2024-10-27 23:14:37.721271,iPhone_3,Other,481,1099,528619,3.0895044383872072
2024-10-27 23:14:37.721271,iPhone_1,US,538,799,429862,4.716680487036845
2024-10-27 23:14:37.721271,iPhone_0,EU,525,1199,629475,3.6133070622379457
2024-10-27 23:14:37.721271,iPhone_3,APAC,479,1199,574321,4.098857224577032
2024-10-27 23:14:37.721271,iPhone_4,EU,521,1099,572579,4.241947763595159
2024-10-27 23:14:37.721271,iPhone_4,US,485,999,484515,3.167783156940317
2024-10-27 23:14:37.721271,iPhone_0,APAC,505,1199,605495,4.74950356630745
2024-10-27 23:14:37.721271,iPhone_0,Other,513,1199,615087,4.907113613440197
2024-10-28 23:14:37.721270,iPhone_0,US,503,799,401897,3.6820403445120675
2024-10-28 23:14:37.721270,iPhone_0,China,509,1099,559391,4.712852977717289
2024-10-28 23:14:37.721270,iPhone_1,China,489,1199,586311,3.558035367530733
2024-10-28 23:14:37.721270,iPhone_2,APAC,523,1299,679377,4.587695477382109
2024-10-28 23:14:37.721270,iPhone_4,Other,524,799,418676,4.716248317409245
2024-10-28 23:14:37.721270,iPhone_0,US,514,799,410686,4.865849725139344
2024-10-28 23:14:37.721270,iPhone_4,EU,497,1299,645603,3.140633185435508
2024-10-28 23:14:37.721270,iPhone_2,China,505,1299,655995,3.3104810577491097
2024-10-28 23:14:37.721270,iPhone_3,US,503,1099,552797,3.8851712318063365
2024-10-28 23:14:37.721270,iPhone_3,China,466,799,372334,3.4849722021667597
2024-10-28 23:14:37.721270,iPhone_0,US,474,1099,520926,3.836766675426543
2024-10-28 23:14:37.721270,iPhone_4,APAC,485,1099,533015,4.586020615251199
2024-10-28 23:14:37.721270,iPhone_4,US,537,799,429063,3.093656217421885
2024-10-28 23:14:37.721270,iPhone_3,EU,545,1099,598955,4.762203750192634
2024-10-28 23:14:37.721270,iPhone_1,APAC,530,1199,635470,3.953353656660737
2024-10-28 23:14:37.721270,iPhone_2,China,473,799,377927,3.9119195959900974
2024-10-28 23:14:37.721270,iPhone_1,US,510,799,407490,4.378481443935915
2024-10-28 23:14:37.721270,iPhone_2,Other,460,1099,505540,3.705911867452214
2024-10-28 23:14:37.721270,iPhone_0,Other,533,1099,585767,3.752431879333982
2024-10-28 23:14:37.721270,iPhone_0,APAC,507,799,405093,3.9537133797700115
2024-10-28 23:14:37.721270,iPhone_1,China,512,799,409088,4.771682206182017
2024-10-28 23:14:37.721270,iPhone_3,APAC,502,799,401098,4.247544381301706
2024-10-28 23:14:37.721270,iPhone_0,China,502,1199,601898,4.205563764046597
2024-10-28 23:14:37.721270,iPhone_1,China,525,999,524475,3.780829970731113
2024-10-28 23:14:37.721270,iPhone_1,China,489,1099,537411,3.582020058821912
2024-10-28 23:14:37.721270,iPhone_2,EU,500,799,399500,3.338933417776879
2024-10-28 23:14:37.721270,iPhone_0,US,487,1199,583913,4.450831261572903
2024-10-28 23:14:37.721270,iPhone_2,APAC,496,1199,594704,3.1319741106993533
2024-10-29 23:14:37.721269,iPhone_3,China,491,1299,637809,4.9293093634122584
2024-10-29 23:14:37.721269,iPhone_1,EU,498,999,497502,4.897691676934122
2024-10-29 23:14:37.721269,iPhone_0,APAC,477,1099,524223,4.497401981576536
2024-10-29 23:14:37.721269,iPhone_1,China,517,999,516483,3.6747094049937057
2024-10-29 23:14:37.721269,iPhone_3,APAC,443,1199,531157,3.7647693247375402
2024-10-29 23:14:37.721269,iPhone_1,EU,503,1099,552797,4.762373652871704
2024-10-29 23:14:37.721269,iPhone_0,APAC,487,799,389113,4.229282238109004
2024-10-29 23:14:37.721269,iPhone_0,APAC,487,999,486513,3.412890464832401
2024-10-29 23:14:37.721269,iPhone_2,APAC,541,1299,702759,3.704382734779938
2024-10-29 23:14:37.721269,iPhone_3,Other,510,1299,662490,4.877739347818629
2024-10-29 23:14:37.721269,iPhone_1,US,450,1299,584550,4.165852113608526
2024-10-29 23:14:37.721269,iPhone_0,US,505,1299,655995,3.880904630642524
2024-10-29 23:14:37.721269,iPhone_1,China,512,1099,562688,3.8791383218270754
2024-10-29 23:14:37.721269,iPhone_4,APAC,513,1299,666387,3.6896352154923395
2024-10-29 23:14:37.721269,iPhone_3,APAC,495,999,494505,4.780299993252279
2024-10-29 23:14:37.721269,iPhone_0,EU,517,1299,671583,4.361004885747824
2024-10-29 23:14:37.721269,iPhone_2,APAC,498,1199,597102,3.183923105398323
2024-10-29 23:14:37.721269,iPhone_4,China,496,799,396304,3.5062580270471897
2024-10-29 23:14:37.721269,iPhone_3,Other,480,999,479520,4.854755646704484
2024-10-29 23:14:37.721269,iPhone_4,APAC,516,999,515484,4.84305371279508
2024-10-29 23:14:37.721269,iPhone_2,US,505,1299,655995,4.340207902936686
2024-10-29 23:14:37.721269,iPhone_3,EU,508,1199,609092,4.693933083415266
2024-10-29 23:14:37.721269,iPhone_0,Other,503,999,502497,3.3792384733996634
2024-10-29 23:14:37.721269,iPhone_3,APAC,517,1199,619883,4.403889649149177
2024-10-29 23:14:37.721269,iPhone_4,Other,512,1099,562688,3.6984411095452896
2024-10-29 23:14:37.721269,iPhone_0,APAC,483,799,385917,3.377924923983616
2024-10-29 23:14:37.721269,iPhone_2,China,491,999,490509,4.396477450774128
2024-10-29 23:14:37.721269,iPhone_1,China,459,999,458541,4.266185328271769
2024-10-30 23:14:37.721268,iPhone_4,EU,528,1299,685872,3.9463300964681434
2024-10-30 23:14:37.721268,iPhone_1,China,497,799,397103,4.090196058121375
2024-10-30 23:14:37.721268,iPhone_1,APAC,491,799,392309,3.3720460000113315
2024-10-30 23:14:37.721268,iPhone_3,US,486,1099,534114,4.854732818923107
2024-10-30 23:14:37.721268,iPhone_1,China,501,1199,600699,4.8367910529181
2024-10-30 23:14:37.721268,iPhone_4,Other,521,1299,676779,4.574844981258711
2024-10-30 23:14:37.721268,iPhone_1,APAC,544,799,434656,3.2987987769075446
2024-10-30 23:14:37.721268,iPhone_4,APAC,508,1199,609092,3.389950399800578
2024-10-30 23:14:37.721268,iPhone_2,China,531,999,530469,4.482143099556344
2024-10-30 23:14:37.721268,iPhone_3,US,520,999,519480,4.949639470222323
2024-10-30 23:14:37.721268,iPhone_0,Other,540,1199,647460,4.233956561734518
2024-10-30 23:14:37.721268,iPhone_1,US,489,1099,537411,4.362626370695768
2024-10-30 23:14:37.721268,iPhone_3,APAC,471,999,470529,3.0942791472574656
2024-10-30 23:14:37.721268,iPhone_1,China,508,1199,609092,3.362894394498931
2024-10-30 23:14:37.721268,iPhone_1,China,536,1199,642664,3.7456972743778687
2024-10-30 23:14:37.721268,iPhone_0,APAC,514,1199,616286,4.753876570207465
2024-10-30 23:14:37.721268,iPhone_4,EU,534,1099,586866,3.0099131837184245
2024-10-30 23:14:37.721268,iPhone_3,EU,527,1099,579173,4.893197145556678
2024-10-30 23:14:37.721268,iPhone_0,APAC,508,1299,659892,3.250750698467747
2024-10-30 23:14:37.721268,iPhone_3,EU,518,999,517482,4.131553239933121
2024-10-30 23:14:37.721268,iPhone_4,EU,479,999,478521,3.5180702882066943
2024-10-30 23:14:37.721268,iPhone_4,Other,517,999,516483,3.9484110443461207
2024-10-30 23:14:37.721268,iPhone_4,China,515,1199,617485,3.855385818232409
2024-10-30 23:14:37.721268,iPhone_4,US,479,1199,574321,3.4698971256667854
2024-10-30 23:14:37.721268,iPhone_2,APAC,521,1199,624679,3.507268640847645
2024-10-30 23:14:37.721268,iPhone_3,EU,481,1099,528619,3.1123778964952464
2024-10-30 23:14:37.721268,iPhone_3,Other,517,1199,619883,3.2869677785443256
2024-10-30 23:14:37.721268,iPhone_1,China,515,1299,668985,3.9369086861074063
2024-10-30 23:14:37.721268,iPhone_3,APAC,484,1099,531916,3.3521909426611893
2024-10-30 23:14:37.721268,iPhone_2,APAC,488,1199,585112,3.6070724196841377
2024-10-30 23:14:37.721268,iPhone_4,China,514,1099,564886,3.036279667786042
2024-10-30 23:14:37.721268,iPhone_1,China,480,999,479520,3.4458980787090665
2024-10-30 23:14:37.721268,iPhone_2,US,530,1199,635470,4.097382532418671
2024-10-30 23:14:37.721268,iPhone_1,China,483,1099,530817,4.841376882339391
2024-10-30 23:14:37.721268,iPhone_3,China,509,1099,559391,3.4198910007456487
2024-10-31 23:14:37.721267,iPhone_3,EU,491,1099,539609,3.2836887952339704
2024-10-31 23:14:37.721267,iPhone_3,EU,506,999,505494,4.9842666326813445
2024-10-31 23:14:37.721267,iPhone_2,EU,514,799,410686,3.499917962478991
2024-10-31 23:14:37.721267,iPhone_2,EU,511,1099,561589,4.766115458465134
2024-10-31 23:14:37.721267,iPhone_1,EU,508,799,405892,4.222046823083849
2024-10-31 23:14:37.721267,iPhone_0,APAC,480,1099,527520,3.3460147404347214
2024-10-31 23:14:37.721267,iPhone_2,EU,484,1199,580316,3.9586927025349397
2024-10-31 23:14:37.721267,iPhone_2,APAC,510,799,407490,3.803476007600874
